# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	255488
#@/user_id	1cfc3a97-9b12-4da7-829a-4855531e8276
a 	啊	c=1034 d=1.25136 t=255488
mo ren ni 	默認你	c=1 d=4.87815e-56 t=255488
mo ren zhi 	默認值	c=27 d=1.71858e-47 t=255488
mo ri 	末日	c=1 d=4.90332e-234 t=255488
mo sha 	磨砂	c=4 d=6.47926e-13 t=255488
mo sheng ren 	陌生人	c=1 d=0 t=255488
mo shi 	模式	c=84 d=2.46426 t=255488
mo shi xia 	模式下	c=1 d=1 t=254578
mo shou 	沒收	c=1 d=1.10898e-158 t=255488
mo sun 	磨損	c=1 d=1.41591e-297 t=255488
mo te 	模特	c=1 d=0.67368 t=255488
mo tuo 	摩托	c=1 d=5.00561e-271 t=255488
mo xing 	模型	c=6 d=0.0273237 t=255488
mo ya 	膜壓	c=2 d=1.33962e-28 t=255488
mo ya men 	膜壓門	c=1 d=1.46548e-55 t=255488
mo zhe 	摸着	c=1 d=3.09694e-93 t=255488
mo zi 	墨子	c=1 d=2.01947e-239 t=255488
mou 	某	c=7 d=0.250324 t=255488
mou ci 	某次	c=1 d=3.10098e-314 t=255488
mou ge 	某個	c=7 d=1.51716e-51 t=255488
mou ge ren 	某個人	c=2 d=8.69698e-133 t=255488
mou mou 	某某	c=1 d=1.08562e-84 t=255488
mou sha 	謀殺	c=1 d=0 t=255488
mou xie 	某些	c=2 d=4.37405e-155 t=255488
mou xie ren 	某些人	c=1 d=0 t=255488
mou yi 	某一	c=2 d=0.000280202 t=255488
mou yi ge 	某一個	c=1 d=1 t=251448
mou yi tian 	某一天	c=1 d=0 t=255488
mou zhong 	某種	c=1 d=0 t=255488
mu 	慕	c=1 d=1.12961e-22 t=255488
mu 	木	c=8 d=4.46465e-14 t=255488
mu 	牧	c=1 d=5.67472e-12 t=255488
mu 	目	c=3 d=4.79995e-13 t=255488
mu ban 	模板	c=8 d=1.57592e-145 t=255488
mu biao 	目標	c=22 d=2.25449e-05 t=255488
mu di 	目的	c=18 d=0.00315143 t=255488
mu di ban 	木地板	c=5 d=1.21599e-228 t=255488
mu er 	木耳	c=3 d=0.0489864 t=255488
mu gong 	木工	c=1 d=2.25859e-232 t=255488
mu gou 	母狗	c=1 d=3.2993e-73 t=255488
mu gua 	木瓜	c=3 d=3.79245e-109 t=255488
mu lu 	目錄	c=107 d=0.0257918 t=255488
mu ma yi 	木螞蟻	c=2 d=4.09234e-19 t=255488
mu mu 	木木	c=0 d=1.78689e-36 t=255488
mu mu wu 	木木屋	c=2 d=3.60975e-35 t=255488
mu ou 	木偶	c=32 d=9.42632e-11 t=255488
mu qi 	木器	c=1 d=3.73339e-86 t=255488
mu qian 	目前	c=221 d=0.0468877 t=255488
mu si 	慕思	c=2 d=1.31695e-21 t=255488
mu si 	慕斯	c=1 d=1.12398e-22 t=255488
mu tou 	木頭	c=6 d=1.85472e-179 t=255488
mu wang 	木忘	c=1 d=1.55376e-08 t=255488
mu xu rou 	木須肉	c=6 d=1.98958e-05 t=255488
mu ye 	木業	c=1 d=8.97513e-23 t=255488
mu yu lu 	沐浴露	c=1 d=2.5725e-263 t=255488
mu zi 	母子	c=2 d=2.51037e-120 t=255488
mu zu 	沐足	c=1 d=1.09039e-18 t=255488
na 	哪	c=14 d=7.32675e-18 t=255488
na 	娜	c=0 d=1.49487e-25 t=255488
na 	拿	c=103 d=0.380983 t=255488
na 	納	c=1 d=2.87344e-06 t=255488
na 	那	c=998 d=2.13018 t=255488
na a a a a a a a a a a a a 	那啊啊啊啊啊啊啊啊啊啊啊啊	c=1 d=0 t=255488
na bi 	那筆	c=7 d=2.14805e-16 t=255488
na bian 	哪邊	c=4 d=7.90821e-181 t=255488
na bian 	那邊	c=114 d=0.579842 t=255488
na bu 	哪步	c=2 d=2.1939e-08 t=255488
na bu 	那部	c=1 d=2.11263e-152 t=255488
na ceng 	那層	c=2 d=0.782705 t=255488
na cha ping 	那差評	c=1 d=2.13821e-29 t=255488
na chang 	那場	c=0 d=5.43472e-323 t=255488
na chang ha 	那場哈	c=1 d=5.58294e-322 t=255488
na chu 	拿出	c=1 d=9.05424e-38 t=255488
na chu lai 	拿出來	c=2 d=1.29468e-09 t=255488
na chu qu 	拿出去	c=1 d=3.001e-17 t=255488
na ci 	那次	c=2 d=1.14938e-79 t=255488
na cong 	那從	c=1 d=8.20751e-265 t=255488
na dao 	拿到	c=13 d=2.30043e-07 t=255488
na de 	拿得	c=1 d=0.125826 t=255488
na de 	那得	c=4 d=3.8201e-62 t=255488
na de chu lai 	拿得出來	c=1 d=0.117068 t=255488
na di 	那地	c=1 d=1.30498e-14 t=255488
na dian 	拿點	c=3 d=0.0106282 t=255488
na er 	哪兒	c=87 d=0.178511 t=255488
na er 	那兒	c=2 d=1.05629e-56 t=255488
na er lai 	哪兒來	c=1 d=1.09669e-262 t=255488
na er lai de 	哪兒來的	c=1 d=0 t=255488
na er le 	哪兒了	c=1 d=0 t=255488
na er mai 	哪兒買	c=2 d=4.38907e-19 t=255488
na er nong 	哪兒弄	c=1 d=0 t=255488
na er wan 	哪兒玩	c=2 d=1.14551e-10 t=255488
na er xiang 	哪兒像	c=1 d=0 t=255488
na gai 	那改	c=1 d=5.52606e-317 t=255488
na ge 	哪個	c=83 d=6.17501e-06 t=255488
na ge 	拿個	c=2 d=2.86145e-45 t=255488
na ge 	那個	c=1257 d=1.6935 t=255488
na ge qun 	那個羣	c=1 d=9.04383e-142 t=255488
na gei ni 	那給你	c=1 d=1.83344e-14 t=255488
na gu ji 	那估計	c=2 d=7.24111e-203 t=255488
na guai 	那怪	c=1 d=4.27897e-73 t=255488
na guo qu 	拿過去	c=1 d=0 t=255488
na hai 	那還	c=6 d=2.07862e-20 t=255488
na hai hao 	那還好	c=4 d=1.83683e-212 t=255488
na hai you 	那還有	c=1 d=1.97626e-323 t=255488
na hang 	那行	c=4 d=1.10259e-90 t=255488
na hao 	那好	c=3 d=1.15798e-196 t=255488
na hui 	拿回	c=0 d=3.11054e-28 t=255488
na hui 	那會	c=2 d=0.000858778 t=255488
na hui jia 	拿回家	c=3 d=6.2297e-139 t=255488
na hui qu 	拿回去	c=7 d=0.00156076 t=255488
na hui qu qu 	拿回去去	c=1 d=0.0156858 t=255488
na huo 	拿貨	c=1 d=2.44294e-67 t=255488
na ji ge 	那幾個	c=1 d=5.27319e-266 t=255488
na jia 	哪家	c=8 d=2.74895e-161 t=255488
na jia 	那家	c=11 d=4.4855e-10 t=255488
na jiu 	那就	c=84 d=0.268474 t=255488
na jiu gan ga 	那就尷尬	c=1 d=2.96439e-322 t=255488
na jiu hao 	那就好	c=2 d=3.982e-256 t=255488
na jiu shi 	那就是	c=19 d=5.98111e-13 t=255488
na jiu xia wu 	那就下午	c=1 d=0 t=255488
na jiu xing 	那就行	c=5 d=0.141564 t=255488
na jiu yong 	那就用	c=2 d=5.90513e-178 t=255488
na kuai 	那塊	c=11 d=1.68782e-11 t=255488
na lai 	哪來	c=1 d=4.97811e-265 t=255488
na lai 	拿來	c=11 d=4.09095e-15 t=255488
na lai le 	拿來了	c=1 d=0 t=255488
na li 	哪裏	c=10 d=2.48305e-23 t=255488
na li 	那裏	c=0 d=0 t=255488
na li ba 	那裏吧	c=1 d=0 t=255488
na li le 	哪裏了	c=1 d=0 t=255488
na liang bi 	那兩筆	c=1 d=1.88449e-278 t=255488
na liang ge 	哪兩個	c=1 d=6.7044e-150 t=255488
na liang kuai 	那兩塊	c=1 d=0 t=255488
na liang tai 	那兩臺	c=1 d=6.3488e-09 t=255488
na lie 	那列	c=1 d=0 t=255488
na me 	那麼	c=48 d=0.621303 t=255488
na me duo 	那麼多	c=2 d=1.28398e-29 t=255488
na me kun nan ma 	那麼困難嗎	c=1 d=3.11261e-322 t=255488
na men 	納悶	c=1 d=4.30732e-180 t=255488
na mian 	那面	c=1 d=2.39214e-202 t=255488
na miao 	納秒	c=1 d=1.42969e-117 t=255488
na neng 	哪能	c=3 d=1.97522e-08 t=255488
na neng 	那能	c=1 d=6.79856e-167 t=255488
na ni 	那你	c=60 d=0.574072 t=255488
na ni men 	那你們	c=5 d=1.32207e-255 t=255488
na ni nong 	那你弄	c=1 d=4.94445e-09 t=255488
na ni shuo 	那你說	c=2 d=6.25088e-32 t=255488
na ni you 	那你有	c=1 d=0 t=255488
na nian 	那年	c=4 d=0.00609675 t=255488
na nin 	那您	c=1 d=1.42731e-215 t=255488
na pian 	哪片	c=1 d=9.03394e-41 t=255488
na qu 	拿去	c=6 d=2.10422e-17 t=255488
na ren jia 	那人家	c=1 d=0 t=255488
na shang 	拿上	c=3 d=2.95532e-13 t=255488
na shi 	那是	c=40 d=0.272554 t=255488
na shi hou 	那時候	c=1 d=5.21036e-37 t=255488
na shi sha 	那是啥	c=2 d=2.49152e-34 t=255488
na shui 	納稅	c=1 d=5.18719e-14 t=255488
na shui ren 	納稅人	c=1 d=2.18825e-154 t=255488
na tai 	那臺	c=20 d=7.46967e-10 t=255488
na tao 	那套	c=2 d=3.8352e-79 t=255488
na tian 	哪天	c=2 d=6.92484e-207 t=255488
na tian 	那天	c=14 d=0.000816895 t=255488
na tiao 	那條	c=4 d=1.61944e-142 t=255488
na tong 	那通	c=1 d=1.94498e-238 t=255488
na tu 	那圖	c=1 d=2.37152e-322 t=255488
na wei 	哪位	c=3 d=5.27814e-42 t=255488
na wei 	那位	c=3 d=0.318224 t=255488
na wo 	那我	c=18 d=0.00778933 t=255488
na wo men 	那我們	c=1 d=0 t=255488
na wo ming bai le 	那我名擺了	c=1 d=0 t=255488
na wo shi xia 	那我試下	c=1 d=0 t=255488
na wo ye 	那我也	c=1 d=3.01084e-320 t=255488
na xia 	拿下	c=3 d=9.80291e-48 t=255488
na xia qu 	拿下去	c=1 d=8.73539e-28 t=255488
na xian zai 	那現在	c=1 d=0 t=255488
na xie 	哪些	c=35 d=4.67826e-05 t=255488
na xie 	那些	c=3 d=0.0739031 t=255488
na xie shi 	那些事	c=2 d=1.39116e-31 t=255488
na xing 	那行	c=2 d=1.19596e-17 t=255488
na yang 	那樣	c=20 d=0.151072 t=255488
na yang ba 	那樣吧	c=1 d=0 t=255488
na yao 	那要	c=4 d=0.0413782 t=255488
na yao shi 	那要是	c=1 d=1.15801e-20 t=255488
na ye 	那也	c=6 d=2.18519e-20 t=255488
na ye shi 	那也是	c=1 d=0.0642483 t=255488
na yi 	那一	c=1 d=3.40861e-221 t=255488
na yi ge 	那一個	c=1 d=7.90505e-323 t=255488
na yi tao 	那一套	c=1 d=5.64651e-306 t=255488
na ying 	那英	c=1 d=0.0290133 t=255488
na ying gai 	那應該	c=2 d=0 t=255488
na ying gai shi 	那應該是	c=1 d=0 t=255488
na you 	哪有	c=18 d=0.0902655 t=255488
na you 	那有	c=1 d=4.62762e-24 t=255488
na you xie 	那有些	c=1 d=3.14127e-25 t=255488
na za ban 	那咋辦	c=2 d=6.94162e-321 t=255488
na zhang 	那張	c=1 d=6.70694e-320 t=255488
na zhang tu 	那張圖	c=1 d=6.22523e-322 t=255488
na zhe 	拿着	c=2 d=1.8302e-52 t=255488
na zhe ge 	那這個	c=1 d=2.06209e-220 t=255488
na zhe kuai 	那這塊	c=1 d=0 t=255488
na zhong 	哪種	c=4 d=1.18937e-106 t=255488
na zhong 	那種	c=83 d=0.22091 t=255488
na zhong hao 	哪種好	c=1 d=2.16031e-238 t=255488
nai 	奶	c=5 d=6.7515e-56 t=255488
nai 	耐	c=1 d=8.78843e-11 t=255488
nai ba 	奶爸	c=1 d=5.35045e-55 t=255488
nai cha 	奶茶	c=1 d=3.10568e-38 t=255488
nai fen 	奶粉	c=12 d=5.74659e-13 t=255488
nai nai 	奶奶	c=7 d=0.00923273 t=255488
nai xin 	耐心	c=3 d=4.03278e-23 t=255488
nai yong 	耐用	c=2 d=8.65759e-11 t=255488
nan 	南	c=5 d=9.47936e-19 t=255488
nan 	男	c=14 d=0.343009 t=255488
nan 	難	c=20 d=0.196931 t=255488
nan bian 	南邊	c=2 d=1.73763e-22 t=255488
nan bu nan 	難不難	c=1 d=0.00019258 t=255488
nan chang 	南昌	c=2 d=7.64074e-154 t=255488
nan cheng xiang 	南城鄉	c=2 d=3.36162e-146 t=255488
nan dao 	難道	c=5 d=2.18177e-31 t=255488
nan dian 	難點	c=7 d=0 t=255488
nan du 	難度	c=2 d=2.56732e-63 t=255488
nan fang 	南方	c=4 d=4.49836e-73 t=255488
nan gong 	南宮	c=1 d=0 t=255488
nan gua 	南瓜	c=2 d=5.73855e-18 t=255488
nan gua hao 	難掛號	c=1 d=1.0367e-306 t=255488
nan guai 	難怪	c=2 d=4.61331e-17 t=255488
nan guo 	南國	c=0 d=0 t=255488
nan guo li 	南國犁	c=1 d=0 t=255488
nan hai 	男孩	c=4 d=1.77435e-11 t=255488
nan hu 	南湖	c=5 d=6.67242e-11 t=255488
nan jing 	南京	c=3 d=1.40514e-31 t=255488
nan jing shi 	南京市	c=1 d=1.41926e-31 t=255488
nan kan 	難看	c=1 d=2.04588e-186 t=255488
nan mai 	難買	c=1 d=0.000746586 t=255488
nan nan nv nv 	男男女女	c=0 d=0 t=255488
nan nan nv nv na ni nan nan nv nv 	男男女女那你男男女女	c=1 d=0 t=255488
nan nan nv nv nan nan nv nv na ni nong nan nan nv nv 	男男女女男男女女那你弄男男女女	c=1 d=0 t=255488
nan nan nv nv nan nan nv nv nan nan nv nv nan nan nv nv nan nan nv nv nan nan nv nv 	男男女女男男女女男男女女男男女女男男女女男男女女	c=1 d=0 t=255488
nan nan nv nv nan nan nv nv nan nan nv nv nan nan nv nv nan nan nv nv nan nan nv nv nan nan nv nv nan nan nv nv nan nan nv nv nan nan nv nv na ni 	男男女女男男女女男男女女男男女女男男女女男男女女男男女女男男女女男男女女男男女女那你	c=1 d=0 t=255488
nan nan nv nv nan nan nv nv nan nan nv nv nan nan nv nv nan nan nv nv nan nan nv nv nan nan nv nv nan nan nv nv nan nan nv nv nan nan nv nv na ni nan nan nv nv 	男男女女男男女女男男女女男男女女男男女女男男女女男男女女男男女女男男女女男男女女那你男男女女	c=1 d=0 t=255488
nan nan nv nv ni nan nan nv nv nan nan nv nv nan nan nv nv 	男男女女你男男女女男男女女男男女女	c=1 d=0 t=255488
nan ping wan zhong 	南屏晚鐘	c=1 d=0 t=255488
nan qiao 	南橋	c=2 d=2.99527e-266 t=255488
nan san huan 	南三環	c=2 d=8.88582e-23 t=255488
nan shi 	難事	c=1 d=5.49787e-110 t=255488
nan shou 	難受	c=4 d=4.55484e-14 t=255488
nan si 	難死	c=1 d=1.66235e-38 t=255488
nan yang 	南陽	c=111 d=2.12997 t=255488
nan yang huo che zhan 	南陽火車站	c=1 d=4.84391e-32 t=255488
nan yang li gong 	南陽理工	c=1 d=0 t=255488
nan yang shi 	南陽市	c=21 d=1.64142e-06 t=255488
nan yao 	難要	c=1 d=8.39743e-05 t=255488
nan yuan 	南苑	c=1 d=0 t=255488
nan zhan 	南站	c=1 d=6.53992e-05 t=255488
nan zhao 	南召	c=1 d=6.33672e-16 t=255488
nang 	囊	c=1 d=7.48773e-09 t=255488
nang kuo 	囊括	c=1 d=2.46246e-43 t=255488
nao 	腦	c=1 d=0 t=255488
nao 	鬧	c=13 d=3.52651e-33 t=255488
nao can 	腦殘	c=1 d=3.03389e-292 t=255488
nao cheng 	鬧成	c=1 d=1.80936e-270 t=255488
nao chu 	鬧出	c=1 d=4.81441e-254 t=255488
nao ling 	鬧鈴	c=1 d=0 t=255488
nao ren 	腦仁	c=1 d=8.88986e-234 t=255488
nao shi 	鬧事	c=1 d=0.264477 t=255488
nao xin 	鬧心	c=1 d=0 t=255488
nao zhe 	鬧着	c=1 d=2.81716e-273 t=255488
nao zhong 	鬧鐘	c=1 d=0 t=255488
nao zi 	腦子	c=4 d=1.86437e-05 t=255488
ne 	呢	c=246 d=0.735508 t=255488
ne ge 	呢個	c=0 d=6.40456e-54 t=255488
nei 	內	c=57 d=0.109154 t=255488
nei bu 	內部	c=41 d=0.00177127 t=255488
nei bu ren 	內部人	c=2 d=3.98723e-07 t=255488
nei bu zhang 	內部賬	c=1 d=6.02426e-215 t=255488
nei ce 	內測	c=5 d=5.01975e-216 t=255488
nei cun 	內存	c=77 d=0.061195 t=255488
nei cun ka 	內存卡	c=1 d=1.75582e-152 t=255488
nei dou 	內鬥	c=1 d=4.1483e-208 t=255488
nei he 	內核	c=27 d=1.40173e-05 t=255488
nei jian 	內建	c=3 d=5.61453e-298 t=255488
nei ke 	內科	c=1 d=0 t=255488
nei kou 	內扣	c=6 d=5.36078e-152 t=255488
nei ku 	內褲	c=1 d=5.45668e-51 t=255488
nei mu 	內幕	c=1 d=0.304221 t=255488
nei qian 	內嵌	c=1 d=0 t=255488
nei qin 	內勤	c=2 d=9.64301e-95 t=255488
nei rong 	內容	c=62 d=0.207022 t=255488
nei rong qu 	內容去	c=1 d=3.65609e-322 t=255488
nei tai 	內胎	c=1 d=5.23291e-29 t=255488
nei wang 	內網	c=102 d=0.565527 t=255488
nei xiang 	內鄉	c=6 d=2.74161e-11 t=255488
nei xin 	內芯	c=3 d=3.21565e-65 t=255488
nei yi 	內衣	c=2 d=6.50952e-09 t=255488
nei zhi 	內置	c=2 d=0 t=255488
nen 	嫩	c=1 d=0.506617 t=255488
nen gui 	嫩貴	c=1 d=0 t=255488
neng 	能	c=1107 d=2.31687 t=255488
neng ba 	能把	c=2 d=1.073e-211 t=255488
neng ban 	能辦	c=1 d=5.87333e-240 t=255488
neng bang 	能幫	c=0 d=0 t=255488
neng bang wo 	能幫我	c=1 d=0 t=255488
neng bu 	能不	c=0 d=1.95101e-246 t=255488
neng bu fen 	能不分	c=1 d=1.96079e-245 t=255488
neng bu neng 	能不能	c=15 d=9.97928e-06 t=255488
neng cheng 	能成	c=1 d=0 t=255488
neng chi wan 	能吃完	c=1 d=3.5174e-32 t=255488
neng chu 	能出	c=1 d=0 t=255488
neng dai 	能帶	c=1 d=3.68199e-305 t=255488
neng dai 	能貸	c=1 d=3.76249e-236 t=255488
neng duo 	能多	c=1 d=1.20069e-34 t=255488
neng gou 	能夠	c=3 d=1.13311e-29 t=255488
neng hao 	能耗	c=2 d=1.37415e-239 t=255488
neng jiang 	能降	c=1 d=6.0203e-31 t=255488
neng kan 	能看	c=1 d=6.45997e-213 t=255488
neng kan dao 	能看到	c=2 d=0 t=255488
neng li 	能力	c=7 d=4.37462e-39 t=255488
neng liang 	能量	c=1 d=0.0235177 t=255488
neng qian 	能前	c=1 d=8.18625e-117 t=255488
neng qian dao ma 	能簽到嗎	c=1 d=0 t=255488
neng shang 	能上	c=1 d=5.50817e-132 t=255488
neng wang 	能忘	c=1 d=1.26975e-321 t=255488
neng yong 	能用	c=16 d=0.00220948 t=255488
neng yong ma 	能用嗎	c=1 d=1.41218e-31 t=255488
neng zhi 	能值	c=1 d=3.69849e-05 t=255488
neng zu 	能租	c=1 d=8.30263e-136 t=255488
ni 	你	c=2153 d=5.99368 t=255488
ni 	尼	c=1 d=1.17913e-203 t=255488
ni ba 	你把	c=22 d=1.38544e-12 t=255488
ni bo er 	尼泊爾	c=1 d=7.53014e-46 t=255488
ni bu 	你不	c=0 d=0 t=255488
ni bu dan xin 	你不擔心	c=1 d=4.75785e-321 t=255488
ni bu guan 	你不管	c=1 d=2.33433e-32 t=255488
ni bu shi 	你不是	c=3 d=3.10631e-11 t=255488
ni bu shuo 	你不說	c=2 d=3.08447e-310 t=255488
ni bu yao 	你不要	c=1 d=1.30434e-302 t=255488
ni bu zhi dao 	你不知道	c=2 d=0.000385874 t=255488
ni cai 	你猜	c=1 d=3.397e-34 t=255488
ni ce 	你測	c=1 d=1.39017e-52 t=255488
ni ce shi 	你測試	c=1 d=3.28033e-299 t=255488
ni chan pin 	你產品	c=1 d=0 t=255488
ni cheng 	昵稱	c=1 d=3.91027e-13 t=255488
ni chi 	齯齒	c=1 d=0 t=255488
ni chong xin ni fa 	你重新你發	c=1 d=0 t=255488
ni cong 	你從	c=1 d=1.31346e-237 t=255488
ni da suan 	你打算	c=1 d=0 t=255488
ni dai san 	你帶傘	c=1 d=5.82758e-295 t=255488
ni dao 	你到	c=1 d=8.81518e-223 t=255488
ni dao jia 	你到家	c=2 d=6.17512e-300 t=255488
ni dao na 	你到哪	c=1 d=0 t=255488
ni dao shi jian 	你到時見	c=1 d=7.75897e-104 t=255488
ni de 	你得	c=4 d=1.11491e-15 t=255488
ni de 	你的	c=17 d=0.0751712 t=255488
ni deng lu 	你登錄	c=1 d=1.19551e-42 t=255488
ni dian 	你點	c=3 d=4.0169e-06 t=255488
ni ding 	你定	c=1 d=3.7835e-37 t=255488
ni dou 	你都	c=5 d=0.0120342 t=255488
ni er zi 	你兒子	c=1 d=9.22152e-165 t=255488
ni fa 	你發	c=3 d=2.0404e-272 t=255488
ni fa wo 	你發我	c=2 d=0 t=255488
ni gai 	你該	c=1 d=0 t=255488
ni ge 	你個	c=3 d=3.26083e-322 t=255488
ni gei 	你給	c=9 d=3.90217e-18 t=255488
ni geng xin 	你更新	c=2 d=0.501576 t=255488
ni gong 	泥工	c=2 d=2.23612e-232 t=255488
ni hai 	你還	c=2 d=2.98858e-27 t=255488
ni hai you 	你還有	c=1 d=0 t=255488
ni hao 	你好	c=1 d=3.03107e-46 t=255488
ni hao le 	你好了	c=1 d=0 t=255488
ni he 	你喝	c=5 d=2.57098e-21 t=255488
ni hou 	你後	c=1 d=0 t=255488
ni hua 	你畫	c=1 d=0 t=255488
ni hui 	你會	c=2 d=1.44937e-72 t=255488
ni jia 	你家	c=2 d=0 t=255488
ni jia dao 	你加到	c=1 d=0 t=255488
ni jiao jiao 	你教教	c=1 d=0 t=255488
ni jiu 	你就	c=1 d=8.3786e-08 t=255488
ni jue de 	你覺得	c=1 d=0.00143012 t=255488
ni kan 	你看	c=52 d=0.109701 t=255488
ni kan ba 	你看吧	c=1 d=1.94333e-228 t=255488
ni kan dian ying 	你看電影	c=1 d=0 t=255488
ni kan kan 	你看看	c=17 d=0.0116192 t=255488
ni kan le 	你看了	c=1 d=2.65709e-320 t=255488
ni kan xia 	你看下	c=25 d=3.77259e-34 t=255488
ni kan xia ai 	你看下愛	c=1 d=0 t=255488
ni kan zhong 	你看中	c=1 d=1.65807e-184 t=255488
ni ke 	你可	c=1 d=1.4146e-198 t=255488
ni ke yi 	你可以	c=3 d=3.25749e-70 t=255488
ni lai 	你來	c=1 d=0 t=255488
ni le mei 	你了沒	c=1 d=0 t=255488
ni lia 	你倆	c=2 d=4.16015e-124 t=255488
ni ma 	你嗎	c=3 d=7.79199e-07 t=255488
ni ma 	尼瑪	c=1 d=4.04795e-214 t=255488
ni mai 	你買	c=2 d=0.000269215 t=255488
ni mang bu mang 	你忙不忙	c=1 d=3.81101e-34 t=255488
ni mei kan 	你沒看	c=1 d=0.153355 t=255488
ni men 	你們	c=367 d=0.455256 t=255488
ni ming 	匿名	c=4 d=0.00213348 t=255488
ni na 	你那	c=1 d=5.04863e-19 t=255488
ni na bian 	你那邊	c=2 d=5.67187e-321 t=255488
ni na ge 	你那個	c=1 d=7.41098e-323 t=255488
ni na shi 	你那是	c=1 d=2.6062e-34 t=255488
ni na you 	你哪有	c=2 d=1.28457e-322 t=255488
ni neng 	你能	c=8 d=0.99005 t=255488
ni nong hao le 	你弄好了	c=1 d=0 t=255488
ni pai ming 	你排名	c=1 d=2.6256e-33 t=255488
ni qiu 	泥鰍	c=1 d=0 t=255488
ni qu 	你去	c=6 d=9.97928e-06 t=255488
ni rang 	你讓	c=2 d=7.33055e-171 t=255488
ni rou 	你肉	c=1 d=7.38918e-294 t=255488
ni sao 	你掃	c=2 d=1.395e-16 t=255488
ni sao xia 	你掃下	c=1 d=9.81534e-17 t=255488
ni shang 	你上	c=1 d=0 t=255488
ni shang ban 	你上班	c=1 d=0 t=255488
ni shi 	你是	c=8 d=0.136695 t=255488
ni shi bu 	你是不	c=1 d=2.15786e-19 t=255488
ni shi bu shi 	你是不是	c=1 d=0 t=255488
ni shi shi 	你試試	c=1 d=7.22896e-07 t=255488
ni shi xia 	你試下	c=1 d=5.01458e-57 t=255488
ni shua xin 	你刷新	c=1 d=0 t=255488
ni shuo 	你說	c=25 d=0.0352602 t=255488
ni shuo de 	你說的	c=6 d=1.03754e-322 t=255488
ni sou xia 	你搜下	c=1 d=1.54628e-10 t=255488
ni suan 	你算	c=1 d=0.079659 t=255488
ni ting ting 	你婷婷	c=1 d=0 t=255488
ni tou 	你投	c=1 d=2.42332e-31 t=255488
ni tou su 	你投訴	c=1 d=8.02929e-07 t=255488
ni wen xia 	你問下	c=1 d=2.52895e-268 t=255488
ni xi fu 	你媳婦	c=1 d=5.19396e-235 t=255488
ni xian 	你先	c=9 d=9.66592e-13 t=255488
ni xian dao jia 	你先到家	c=1 d=0 t=255488
ni xian gei wo 	你先給我	c=1 d=0 t=255488
ni xian zai 	你現在	c=2 d=6.23511e-321 t=255488
ni xian zou 	你先走	c=1 d=1.00945e-228 t=255488
ni xiang 	你想	c=10 d=6.92758e-06 t=255488
ni xiang 	逆向	c=2 d=2.39892e-294 t=255488
ni xiang chi 	你想吃	c=1 d=2.18742e-32 t=255488
ni xing 	逆行	c=1 d=0 t=255488
ni xuan 	你選	c=3 d=1.24905e-28 t=255488
ni yao 	你要	c=14 d=0.153355 t=255488
ni ye 	你也	c=12 d=0.151829 t=255488
ni ye bu zai 	你也不再	c=1 d=0 t=255488
ni ye shi 	你也是	c=2 d=0 t=255488
ni yong 	你用	c=13 d=4.83305e-35 t=255488
ni you 	你有	c=8 d=0.00687406 t=255488
ni you ta 	你有他	c=1 d=9.1186e-180 t=255488
ni za 	你咋	c=2 d=4.5149e-28 t=255488
ni zai 	你再	c=1 d=3.23765e-292 t=255488
ni zai 	你在	c=9 d=0.366045 t=255488
ni zai shang bian 	你在上邊	c=1 d=0 t=255488
ni zhao 	你找	c=1 d=6.31335e-237 t=255488
ni zhe 	你這	c=6 d=0.00136719 t=255488
ni zhe ge 	你這個	c=2 d=1.87745e-322 t=255488
ni zhen 	你真	c=1 d=6.35529e-21 t=255488
ni zhi dao 	你知道	c=3 d=1.94544e-182 t=255488
ni zhi jie 	你直接	c=1 d=8.69061e-320 t=255488
ni zi 	膩子	c=1 d=8.7972e-199 t=255488
ni zi ji 	你自己	c=1 d=4.04653e-63 t=255488
ni zou 	你走	c=1 d=7.7564e-247 t=255488
ni zuo 	你坐	c=1 d=1.07735e-288 t=255488
nian 	唸	c=1 d=2.90281e-08 t=255488
nian 	年	c=116 d=0.485472 t=255488
nian bao 	粘包	c=5 d=2.12588 t=253030
nian dao 	唸叨	c=1 d=1.31383e-299 t=255488
nian di 	年底	c=2 d=2.867e-09 t=255488
nian du 	年度	c=2 d=1.09886e-185 t=255488
nian fen 	年份	c=5 d=5.409e-36 t=255488
nian fu 	年付	c=1 d=2.39098e-20 t=255488
nian fu yi nian 	年復一年	c=2 d=9.28059e-05 t=255488
nian hou 	年後	c=8 d=0.110408 t=255488
nian hu hu 	黏糊糊	c=1 d=3.85246e-73 t=255488
nian hui 	年會	c=4 d=8.25386e-08 t=255488
nian ji 	年紀	c=2 d=0 t=255488
nian ji 	年級	c=1 d=0 t=255488
nian jia 	年假	c=13 d=0.263158 t=255488
nian ka 	年卡	c=1 d=0 t=255488
nian li lv 	年利率	c=2 d=1.21935e-237 t=255488
nian ling 	年齡	c=7 d=0.203926 t=255488
nian nei 	年內	c=2 d=1.74896e-106 t=255488
nian qian 	年前	c=10 d=0.154124 t=255488
nian qing 	年輕	c=5 d=0.00178848 t=255488
nian shu 	年數	c=2 d=9.68267e-138 t=255488
nian xian 	年限	c=1 d=4.35813e-24 t=255488
